asset,loss,model,rank
DIA,pinball_avg,lgbm,11
ETH-USD,pinball_avg,lgbm,6
HSI,pinball_avg,lgbm,11
KOSPI,pinball_avg,lgbm,11
NDX,pinball_avg,lgbm,11
NKX,pinball_avg,lgbm,11
SPY,pinball_avg,lgbm,11
TWSE,pinball_avg,lgbm,7
BTC-USD,pinball_avg,moirai,1
CAC,pinball_avg,moirai,10
DAX,pinball_avg,moirai,7
DIA,pinball_avg,moirai,8
ETH-USD,pinball_avg,moirai,1
HSI,pinball_avg,moirai,5
KOSPI,pinball_avg,moirai,4
NDX,pinball_avg,moirai,5
NKX,pinball_avg,moirai,7
SPY,pinball_avg,moirai,8
TWSE,pinball_avg,moirai,9
BTC-USD,pinball_avg,naive,10
CAC,pinball_avg,naive,13
DAX,pinball_avg,naive,13
DIA,pinball_avg,naive,13
ETH-USD,pinball_avg,naive,12
HSI,pinball_avg,naive,13
KOSPI,pinball_avg,naive,13
NDX,pinball_avg,naive,13
NKX,pinball_avg,naive,12
SPY,pinball_avg,naive,13
TWSE,pinball_avg,naive,12
BTC-USD,pinball_avg,patchtst,13
CAC,pinball_avg,patchtst,12
DAX,pinball_avg,patchtst,12
DIA,pinball_avg,patchtst,12
ETH-USD,pinball_avg,patchtst,13
HSI,pinball_avg,patchtst,12
KOSPI,pinball_avg,patchtst,12
NDX,pinball_avg,patchtst,12
NKX,pinball_avg,patchtst,13
SPY,pinball_avg,patchtst,12
TWSE,pinball_avg,patchtst,13
BTC-USD,pinball_avg,timesfm,2
CAC,pinball_avg,timesfm,7
DAX,pinball_avg,timesfm,9
DIA,pinball_avg,timesfm,6
ETH-USD,pinball_avg,timesfm,3
HSI,pinball_avg,timesfm,9
KOSPI,pinball_avg,timesfm,7
NDX,pinball_avg,timesfm,6
NKX,pinball_avg,timesfm,9
SPY,pinball_avg,timesfm,7
TWSE,pinball_avg,timesfm,10
BTC-USD,qlike,autoarima,5
CAC,qlike,autoarima,7
DAX,qlike,autoarima,6
DIA,qlike,autoarima,3
ETH-USD,qlike,autoarima,5
HSI,qlike,autoarima,3
KOSPI,qlike,autoarima,4
NDX,qlike,autoarima,7
NKX,qlike,autoarima,7
SPY,qlike,autoarima,3
TWSE,qlike,autoarima,4
BTC-USD,qlike,autoets,6
CAC,qlike,autoets,4
DAX,qlike,autoets,4
DIA,qlike,autoets,2
ETH-USD,qlike,autoets,7
HSI,qlike,autoets,5
KOSPI,qlike,autoets,5
NDX,qlike,autoets,4
NKX,qlike,autoets,6
SPY,qlike,autoets,1
TWSE,qlike,autoets,3
BTC-USD,qlike,chronos,3
CAC,qlike,chronos,5
DAX,qlike,chronos,5
DIA,qlike,chronos,8
ETH-USD,qlike,chronos,3
HSI,qlike,chronos,4
KOSPI,qlike,chronos,6
NDX,qlike,chronos,6
NKX,qlike,chronos,3
SPY,qlike,chronos,6
TWSE,qlike,chronos,5
BTC-USD,qlike,ewma,10
CAC,qlike,ewma,10
DAX,qlike,ewma,8
DIA,qlike,ewma,10
ETH-USD,qlike,ewma,9
HSI,qlike,ewma,6
KOSPI,qlike,ewma,7
NDX,qlike,ewma,10
NKX,qlike,ewma,9
SPY,qlike,ewma,10
TWSE,qlike,ewma,8
BTC-USD,qlike,garch11,8
CAC,qlike,garch11,8
DAX,qlike,garch11,10
DIA,qlike,garch11,9
ETH-USD,qlike,garch11,8
HSI,qlike,garch11,10
KOSPI,qlike,garch11,8
NDX,qlike,garch11,8
NKX,qlike,garch11,8
SPY,qlike,garch11,9
TWSE,qlike,garch11,9
BTC-USD,qlike,garch11_t,11
CAC,qlike,garch11_t,9
DAX,qlike,garch11_t,9
DIA,qlike,garch11_t,7
ETH-USD,qlike,garch11_t,11
HSI,qlike,garch11_t,9
KOSPI,qlike,garch11_t,9
NDX,qlike,garch11_t,9
NKX,qlike,garch11_t,10
SPY,qlike,garch11_t,7
TWSE,qlike,garch11_t,10
BTC-USD,qlike,gjr,9
CAC,qlike,gjr,1
DAX,qlike,gjr,1
DIA,qlike,gjr,1
ETH-USD,qlike,gjr,10
HSI,qlike,gjr,8
KOSPI,qlike,gjr,1
NDX,qlike,gjr,1
NKX,qlike,gjr,5
SPY,qlike,gjr,2
TWSE,qlike,gjr,6
BTC-USD,qlike,har,4
CAC,qlike,har,2
DAX,qlike,har,3
DIA,qlike,har,4
ETH-USD,qlike,har,4
HSI,qlike,har,2
KOSPI,qlike,har,3
NDX,qlike,har,3
NKX,qlike,har,2
SPY,qlike,har,4
TWSE,qlike,har,2
BTC-USD,qlike,lgbm,7
CAC,qlike,lgbm,11
DAX,qlike,lgbm,11
DIA,qlike,lgbm,11
ETH-USD,qlike,lgbm,6
HSI,qlike,lgbm,11
KOSPI,qlike,lgbm,11
NDX,qlike,lgbm,11
NKX,qlike,lgbm,11
SPY,qlike,lgbm,11
TWSE,qlike,lgbm,11
BTC-USD,qlike,moirai,1
CAC,qlike,moirai,3
DAX,qlike,moirai,2
DIA,qlike,moirai,5
ETH-USD,qlike,moirai,1
HSI,qlike,moirai,1
KOSPI,qlike,moirai,2
NDX,qlike,moirai,2
NKX,qlike,moirai,1
SPY,qlike,moirai,5
TWSE,qlike,moirai,1
BTC-USD,qlike,naive,12
CAC,qlike,naive,13
DAX,qlike,naive,13
DIA,qlike,naive,13
ETH-USD,qlike,naive,12
HSI,qlike,naive,13
KOSPI,qlike,naive,13
NDX,qlike,naive,13
NKX,qlike,naive,12
SPY,qlike,naive,13
TWSE,qlike,naive,13
BTC-USD,qlike,patchtst,13
CAC,qlike,patchtst,12
DAX,qlike,patchtst,12
DIA,qlike,patchtst,12
ETH-USD,qlike,patchtst,13
HSI,qlike,patchtst,12
KOSPI,qlike,patchtst,12
NDX,qlike,patchtst,12
NKX,qlike,patchtst,13
SPY,qlike,patchtst,12
TWSE,qlike,patchtst,12
BTC-USD,qlike,timesfm,2
CAC,qlike,timesfm,6
DAX,qlike,timesfm,7
DIA,qlike,timesfm,6
ETH-USD,qlike,timesfm,2
HSI,qlike,timesfm,7
KOSPI,qlike,timesfm,10
NDX,qlike,timesfm,5
NKX,qlike,timesfm,4
SPY,qlike,timesfm,8
TWSE,qlike,timesfm,7
BTC-USD,fz0_0p01,autoarima,7
CAC,fz0_0p01,autoarima,7
DAX,fz0_0p01,autoarima,10
DIA,fz0_0p01,autoarima,3
ETH-USD,fz0_0p01,autoarima,2
HSI,fz0_0p01,autoarima,2
KOSPI,fz0_0p01,autoarima,3
NDX,fz0_0p01,autoarima,5
NKX,fz0_0p01,autoarima,10
SPY,fz0_0p01,autoarima,4
TWSE,fz0_0p01,autoarima,8
BTC-USD,fz0_0p01,autoets,10
CAC,fz0_0p01,autoets,5
DAX,fz0_0p01,autoets,7
DIA,fz0_0p01,autoets,2
ETH-USD,fz0_0p01,autoets,10
HSI,fz0_0p01,autoets,3
KOSPI,fz0_0p01,autoets,2
NDX,fz0_0p01,autoets,3
NKX,fz0_0p01,autoets,6
SPY,fz0_0p01,autoets,3
TWSE,fz0_0p01,autoets,6
BTC-USD,fz0_0p01,chronos,9
CAC,fz0_0p01,chronos,8
DAX,fz0_0p01,chronos,4
DIA,fz0_0p01,chronos,7
ETH-USD,fz0_0p01,chronos,7
HSI,fz0_0p01,chronos,8
KOSPI,fz0_0p01,chronos,10
NDX,fz0_0p01,chronos,6
NKX,fz0_0p01,chronos,7
SPY,fz0_0p01,chronos,6
TWSE,fz0_0p01,chronos,12
BTC-USD,fz0_0p01,ewma,12
CAC,fz0_0p01,ewma,10
DAX,fz0_0p01,ewma,8
DIA,fz0_0p01,ewma,11
ETH-USD,fz0_0p01,ewma,12
HSI,fz0_0p01,ewma,5
KOSPI,fz0_0p01,ewma,8
NDX,fz0_0p01,ewma,10
NKX,fz0_0p01,ewma,4
SPY,fz0_0p01,ewma,11
TWSE,fz0_0p01,ewma,4
BTC-USD,fz0_0p01,garch11,8
CAC,fz0_0p01,garch11,3
DAX,fz0_0p01,garch11,9
DIA,fz0_0p01,garch11,8
ETH-USD,fz0_0p01,garch11,9
HSI,fz0_0p01,garch11,11
KOSPI,fz0_0p01,garch11,7
NDX,fz0_0p01,garch11,9
NKX,fz0_0p01,garch11,3
SPY,fz0_0p01,garch11,9
TWSE,fz0_0p01,garch11,3
BTC-USD,fz0_0p01,garch11_t,2
CAC,fz0_0p01,garch11_t,1
DAX,fz0_0p01,garch11_t,1
DIA,fz0_0p01,garch11_t,1
ETH-USD,fz0_0p01,garch11_t,1
HSI,fz0_0p01,garch11_t,1
KOSPI,fz0_0p01,garch11_t,1
NDX,fz0_0p01,garch11_t,1
NKX,fz0_0p01,garch11_t,2
SPY,fz0_0p01,garch11_t,1
TWSE,fz0_0p01,garch11_t,1
BTC-USD,fz0_0p01,gjr,3
CAC,fz0_0p01,gjr,2
DAX,fz0_0p01,gjr,2
DIA,fz0_0p01,gjr,5
ETH-USD,fz0_0p01,gjr,6
HSI,fz0_0p01,gjr,6
KOSPI,fz0_0p01,gjr,4
NDX,fz0_0p01,gjr,7
NKX,fz0_0p01,gjr,1
SPY,fz0_0p01,gjr,7
TWSE,fz0_0p01,gjr,2
BTC-USD,fz0_0p01,har,5
CAC,fz0_0p01,har,4
DAX,fz0_0p01,har,5
DIA,fz0_0p01,har,4
ETH-USD,fz0_0p01,har,3
HSI,fz0_0p01,har,4
KOSPI,fz0_0p01,har,6
NDX,fz0_0p01,har,2
NKX,fz0_0p01,har,8
SPY,fz0_0p01,har,2
TWSE,fz0_0p01,har,5
BTC-USD,fz0_0p01,lgbm,11
CAC,fz0_0p01,lgbm,11
DAX,fz0_0p01,lgbm,11
DIA,fz0_0p01,lgbm,10
ETH-USD,fz0_0p01,lgbm,8
HSI,fz0_0p01,lgbm,9
KOSPI,fz0_0p01,lgbm,11
NDX,fz0_0p01,lgbm,11
NKX,fz0_0p01,lgbm,12
SPY,fz0_0p01,lgbm,10
TWSE,fz0_0p01,lgbm,7
BTC-USD,fz0_0p01,moirai,1
CAC,fz0_0p01,moirai,9
DAX,fz0_0p01,moirai,6
DIA,fz0_0p01,moirai,9
ETH-USD,fz0_0p01,moirai,4
HSI,fz0_0p01,moirai,7
KOSPI,fz0_0p01,moirai,5
NDX,fz0_0p01,moirai,8
NKX,fz0_0p01,moirai,5
SPY,fz0_0p01,moirai,8
TWSE,fz0_0p01,moirai,11
BTC-USD,fz0_0p01,naive,6
CAC,fz0_0p01,naive,12
DAX,fz0_0p01,naive,12
DIA,fz0_0p01,naive,13
ETH-USD,fz0_0p01,naive,11
HSI,fz0_0p01,naive,13
KOSPI,fz0_0p01,naive,13
NDX,fz0_0p01,naive,12
NKX,fz0_0p01,naive,11
SPY,fz0_0p01,naive,13
TWSE,fz0_0p01,naive,9
BTC-USD,fz0_0p01,patchtst,13
CAC,fz0_0p01,patchtst,13
DAX,fz0_0p01,patchtst,13
DIA,fz0_0p01,patchtst,12
ETH-USD,fz0_0p01,patchtst,13
HSI,fz0_0p01,patchtst,12
KOSPI,fz0_0p01,patchtst,12
NDX,fz0_0p01,patchtst,13
NKX,fz0_0p01,patchtst,13
SPY,fz0_0p01,patchtst,12
TWSE,fz0_0p01,patchtst,13
BTC-USD,fz0_0p01,timesfm,4
CAC,fz0_0p01,timesfm,6
DAX,fz0_0p01,timesfm,3
DIA,fz0_0p01,timesfm,6
ETH-USD,fz0_0p01,timesfm,5
HSI,fz0_0p01,timesfm,10
KOSPI,fz0_0p01,timesfm,9
NDX,fz0_0p01,timesfm,4
NKX,fz0_0p01,timesfm,9
SPY,fz0_0p01,timesfm,5
TWSE,fz0_0p01,timesfm,10
BTC-USD,fz0_0p025,autoarima,5
CAC,fz0_0p025,autoarima,7
DAX,fz0_0p025,autoarima,9
DIA,fz0_0p025,autoarima,2
ETH-USD,fz0_0p025,autoarima,5
HSI,fz0_0p025,autoarima,1
KOSPI,fz0_0p025,autoarima,2
NDX,fz0_0p025,autoarima,3
NKX,fz0_0p025,autoarima,10
SPY,fz0_0p025,autoarima,3
TWSE,fz0_0p025,autoarima,8
BTC-USD,fz0_0p025,autoets,7
CAC,fz0_0p025,autoets,5
DAX,fz0_0p025,autoets,7
DIA,fz0_0p025,autoets,1
ETH-USD,fz0_0p025,autoets,10
HSI,fz0_0p025,autoets,2
KOSPI,fz0_0p025,autoets,1
NDX,fz0_0p025,autoets,1
NKX,fz0_0p025,autoets,6
SPY,fz0_0p025,autoets,1
TWSE,fz0_0p025,autoets,6
BTC-USD,fz0_0p025,chronos,3
CAC,fz0_0p025,chronos,8
DAX,fz0_0p025,chronos,3
DIA,fz0_0p025,chronos,7
ETH-USD,fz0_0p025,chronos,3
HSI,fz0_0p025,chronos,7
KOSPI,fz0_0p025,chronos,8
NDX,fz0_0p025,chronos,8
NKX,fz0_0p025,chronos,8
SPY,fz0_0p025,chronos,5
TWSE,fz0_0p025,chronos,12
BTC-USD,fz0_0p025,ewma,12
CAC,fz0_0p025,ewma,10
DAX,fz0_0p025,ewma,10
DIA,fz0_0p025,ewma,10
ETH-USD,fz0_0p025,ewma,11
HSI,fz0_0p025,ewma,4
KOSPI,fz0_0p025,ewma,10
NDX,fz0_0p025,ewma,10
NKX,fz0_0p025,ewma,4
SPY,fz0_0p025,ewma,11
TWSE,fz0_0p025,ewma,4
BTC-USD,fz0_0p025,garch11,10
CAC,fz0_0p025,garch11,3
DAX,fz0_0p025,garch11,8
DIA,fz0_0p025,garch11,9
ETH-USD,fz0_0p025,garch11,9
HSI,fz0_0p025,garch11,11
KOSPI,fz0_0p025,garch11,9
NDX,fz0_0p025,garch11,9
NKX,fz0_0p025,garch11,3
SPY,fz0_0p025,garch11,9
TWSE,fz0_0p025,garch11,3
BTC-USD,fz0_0p025,garch11_t,8
CAC,fz0_0p025,garch11_t,2
DAX,fz0_0p025,garch11_t,2
DIA,fz0_0p025,garch11_t,5
ETH-USD,fz0_0p025,garch11_t,4
HSI,fz0_0p025,garch11_t,6
KOSPI,fz0_0p025,garch11_t,4
NDX,fz0_0p025,garch11_t,7
NKX,fz0_0p025,garch11_t,2
SPY,fz0_0p025,garch11_t,4
TWSE,fz0_0p025,garch11_t,2
BTC-USD,fz0_0p025,gjr,6
CAC,fz0_0p025,gjr,1
DAX,fz0_0p025,gjr,1
DIA,fz0_0p025,gjr,3
ETH-USD,fz0_0p025,gjr,8
HSI,fz0_0p025,gjr,8
KOSPI,fz0_0p025,gjr,3
NDX,fz0_0p025,gjr,6
NKX,fz0_0p025,gjr,1
SPY,fz0_0p025,gjr,6
TWSE,fz0_0p025,gjr,1
BTC-USD,fz0_0p025,har,4
CAC,fz0_0p025,har,4
DAX,fz0_0p025,har,5
DIA,fz0_0p025,har,4
ETH-USD,fz0_0p025,har,6
HSI,fz0_0p025,har,3
KOSPI,fz0_0p025,har,6
NDX,fz0_0p025,har,2
NKX,fz0_0p025,har,7
SPY,fz0_0p025,har,2
TWSE,fz0_0p025,har,5
BTC-USD,fz0_0p025,lgbm,11
CAC,fz0_0p025,lgbm,11
DAX,fz0_0p025,lgbm,11
DIA,fz0_0p025,lgbm,11
ETH-USD,fz0_0p025,lgbm,7
HSI,fz0_0p025,lgbm,9
KOSPI,fz0_0p025,lgbm,11
NDX,fz0_0p025,lgbm,11
NKX,fz0_0p025,lgbm,11
SPY,fz0_0p025,lgbm,10
TWSE,fz0_0p025,lgbm,7
BTC-USD,fz0_0p025,moirai,1
CAC,fz0_0p025,moirai,9
DAX,fz0_0p025,moirai,4
DIA,fz0_0p025,moirai,8
ETH-USD,fz0_0p025,moirai,1
HSI,fz0_0p025,moirai,5
KOSPI,fz0_0p025,moirai,5
NDX,fz0_0p025,moirai,5
NKX,fz0_0p025,moirai,5
SPY,fz0_0p025,moirai,8
TWSE,fz0_0p025,moirai,10
BTC-USD,fz0_0p025,naive,9
CAC,fz0_0p025,naive,12
DAX,fz0_0p025,naive,12
DIA,fz0_0p025,naive,13
ETH-USD,fz0_0p025,naive,12
HSI,fz0_0p025,naive,13
KOSPI,fz0_0p025,naive,13
NDX,fz0_0p025,naive,12
NKX,fz0_0p025,naive,12
SPY,fz0_0p025,naive,13
TWSE,fz0_0p025,naive,11
BTC-USD,fz0_0p025,patchtst,13
CAC,fz0_0p025,patchtst,13
DAX,fz0_0p025,patchtst,13
DIA,fz0_0p025,patchtst,12
ETH-USD,fz0_0p025,patchtst,13
HSI,fz0_0p025,patchtst,12
KOSPI,fz0_0p025,patchtst,12
NDX,fz0_0p025,patchtst,13
NKX,fz0_0p025,patchtst,13
SPY,fz0_0p025,patchtst,12
TWSE,fz0_0p025,patchtst,13
BTC-USD,fz0_0p025,timesfm,2
CAC,fz0_0p025,timesfm,6
DAX,fz0_0p025,timesfm,6
DIA,fz0_0p025,timesfm,6
ETH-USD,fz0_0p025,timesfm,2
HSI,fz0_0p025,timesfm,10
KOSPI,fz0_0p025,timesfm,7
NDX,fz0_0p025,timesfm,4
NKX,fz0_0p025,timesfm,9
SPY,fz0_0p025,timesfm,7
TWSE,fz0_0p025,timesfm,9
BTC-USD,fz0_0p05,autoarima,4
CAC,fz0_0p05,autoarima,8
DAX,fz0_0p05,autoarima,7
DIA,fz0_0p05,autoarima,2
ETH-USD,fz0_0p05,autoarima,4
HSI,fz0_0p05,autoarima,2
KOSPI,fz0_0p05,autoarima,2
NDX,fz0_0p05,autoarima,3
NKX,fz0_0p05,autoarima,10
SPY,fz0_0p05,autoarima,2
TWSE,fz0_0p05,autoarima,7
BTC-USD,fz0_0p05,autoets,8
CAC,fz0_0p05,autoets,5
DAX,fz0_0p05,autoets,5
DIA,fz0_0p05,autoets,1
ETH-USD,fz0_0p05,autoets,8
HSI,fz0_0p05,autoets,3
KOSPI,fz0_0p05,autoets,1
NDX,fz0_0p05,autoets,1
NKX,fz0_0p05,autoets,6
SPY,fz0_0p05,autoets,1
TWSE,fz0_0p05,autoets,5
BTC-USD,fz0_0p05,chronos,3
CAC,fz0_0p05,chronos,9
DAX,fz0_0p05,chronos,4
DIA,fz0_0p05,chronos,6
ETH-USD,fz0_0p05,chronos,3
HSI,fz0_0p05,chronos,7
KOSPI,fz0_0p05,chronos,7
NDX,fz0_0p05,chronos,6
NKX,fz0_0p05,chronos,8
SPY,fz0_0p05,chronos,5
TWSE,fz0_0p05,chronos,11
BTC-USD,fz0_0p05,ewma,12
CAC,fz0_0p05,ewma,10
DAX,fz0_0p05,ewma,9
DIA,fz0_0p05,ewma,10
ETH-USD,fz0_0p05,ewma,11
HSI,fz0_0p05,ewma,4
KOSPI,fz0_0p05,ewma,10
NDX,fz0_0p05,ewma,10
NKX,fz0_0p05,ewma,2
SPY,fz0_0p05,ewma,10
TWSE,fz0_0p05,ewma,3
BTC-USD,fz0_0p05,garch11,10
CAC,fz0_0p05,garch11,4
DAX,fz0_0p05,garch11,10
DIA,fz0_0p05,garch11,9
ETH-USD,fz0_0p05,garch11,10
HSI,fz0_0p05,garch11,10
KOSPI,fz0_0p05,garch11,9
NDX,fz0_0p05,garch11,9
NKX,fz0_0p05,garch11,3
SPY,fz0_0p05,garch11,9
TWSE,fz0_0p05,garch11,4
BTC-USD,fz0_0p05,garch11_t,7
CAC,fz0_0p05,garch11_t,3
DAX,fz0_0p05,garch11_t,8
DIA,fz0_0p05,garch11_t,8
ETH-USD,fz0_0p05,garch11_t,7
HSI,fz0_0p05,garch11_t,9
KOSPI,fz0_0p05,garch11_t,8
NDX,fz0_0p05,garch11_t,8
NKX,fz0_0p05,garch11_t,4
SPY,fz0_0p05,garch11_t,8
TWSE,fz0_0p05,garch11_t,2
BTC-USD,fz0_0p05,gjr,6
CAC,fz0_0p05,gjr,1
DAX,fz0_0p05,gjr,1
DIA,fz0_0p05,gjr,3
ETH-USD,fz0_0p05,gjr,9
HSI,fz0_0p05,gjr,6
KOSPI,fz0_0p05,gjr,3
NDX,fz0_0p05,gjr,7
NKX,fz0_0p05,gjr,1
SPY,fz0_0p05,gjr,6
TWSE,fz0_0p05,gjr,1
BTC-USD,fz0_0p05,har,5
CAC,fz0_0p05,har,2
DAX,fz0_0p05,har,3
DIA,fz0_0p05,har,4
ETH-USD,fz0_0p05,har,5
HSI,fz0_0p05,har,1
KOSPI,fz0_0p05,har,5
NDX,fz0_0p05,har,2
NKX,fz0_0p05,har,7
SPY,fz0_0p05,har,3
TWSE,fz0_0p05,har,6
BTC-USD,fz0_0p05,lgbm,9
CAC,fz0_0p05,lgbm,11
DAX,fz0_0p05,lgbm,11
DIA,fz0_0p05,lgbm,11
ETH-USD,fz0_0p05,lgbm,6
HSI,fz0_0p05,lgbm,11
KOSPI,fz0_0p05,lgbm,11
NDX,fz0_0p05,lgbm,11
NKX,fz0_0p05,lgbm,11
SPY,fz0_0p05,lgbm,11
TWSE,fz0_0p05,lgbm,8
BTC-USD,fz0_0p05,moirai,1
CAC,fz0_0p05,moirai,7
DAX,fz0_0p05,moirai,2
DIA,fz0_0p05,moirai,5
ETH-USD,fz0_0p05,moirai,1
HSI,fz0_0p05,moirai,5
KOSPI,fz0_0p05,moirai,4
NDX,fz0_0p05,moirai,4
NKX,fz0_0p05,moirai,5
SPY,fz0_0p05,moirai,4
TWSE,fz0_0p05,moirai,9
BTC-USD,fz0_0p05,naive,11
CAC,fz0_0p05,naive,12
DAX,fz0_0p05,naive,12
DIA,fz0_0p05,naive,13
ETH-USD,fz0_0p05,naive,12
HSI,fz0_0p05,naive,13
KOSPI,fz0_0p05,naive,13
NDX,fz0_0p05,naive,13
NKX,fz0_0p05,naive,12
SPY,fz0_0p05,naive,13
TWSE,fz0_0p05,naive,12
BTC-USD,fz0_0p05,patchtst,13
CAC,fz0_0p05,patchtst,13
DAX,fz0_0p05,patchtst,13
DIA,fz0_0p05,patchtst,12
ETH-USD,fz0_0p05,patchtst,13
HSI,fz0_0p05,patchtst,12
KOSPI,fz0_0p05,patchtst,12
NDX,fz0_0p05,patchtst,12
NKX,fz0_0p05,patchtst,13
SPY,fz0_0p05,patchtst,12
TWSE,fz0_0p05,patchtst,13
BTC-USD,fz0_0p05,timesfm,2
CAC,fz0_0p05,timesfm,6
DAX,fz0_0p05,timesfm,6
DIA,fz0_0p05,timesfm,7
ETH-USD,fz0_0p05,timesfm,2
HSI,fz0_0p05,timesfm,8
KOSPI,fz0_0p05,timesfm,6
NDX,fz0_0p05,timesfm,5
NKX,fz0_0p05,timesfm,9
SPY,fz0_0p05,timesfm,7
TWSE,fz0_0p05,timesfm,10
BTC-USD,fz0_avg,autoarima,7
CAC,fz0_avg,autoarima,7
DAX,fz0_avg,autoarima,9
DIA,fz0_avg,autoarima,2
ETH-USD,fz0_avg,autoarima,5
HSI,fz0_avg,autoarima,1
KOSPI,fz0_avg,autoarima,2
NDX,fz0_avg,autoarima,4
NKX,fz0_avg,autoarima,10
SPY,fz0_avg,autoarima,4
TWSE,fz0_avg,autoarima,8
BTC-USD,fz0_avg,autoets,10
CAC,fz0_avg,autoets,5
DAX,fz0_avg,autoets,7
DIA,fz0_avg,autoets,1
ETH-USD,fz0_avg,autoets,10
HSI,fz0_avg,autoets,3
KOSPI,fz0_avg,autoets,1
NDX,fz0_avg,autoets,1
NKX,fz0_avg,autoets,6
SPY,fz0_avg,autoets,1
TWSE,fz0_avg,autoets,6
BTC-USD,fz0_avg,chronos,3
CAC,fz0_avg,chronos,8
DAX,fz0_avg,chronos,3
DIA,fz0_avg,chronos,7
ETH-USD,fz0_avg,chronos,4
HSI,fz0_avg,chronos,8
KOSPI,fz0_avg,chronos,8
NDX,fz0_avg,chronos,6
NKX,fz0_avg,chronos,8
SPY,fz0_avg,chronos,5
TWSE,fz0_avg,chronos,12
BTC-USD,fz0_avg,ewma,12
CAC,fz0_avg,ewma,10
DAX,fz0_avg,ewma,8
DIA,fz0_avg,ewma,10
ETH-USD,fz0_avg,ewma,12
HSI,fz0_avg,ewma,4
KOSPI,fz0_avg,ewma,10
NDX,fz0_avg,ewma,10
NKX,fz0_avg,ewma,4
SPY,fz0_avg,ewma,11
TWSE,fz0_avg,ewma,4
BTC-USD,fz0_avg,garch11,9
CAC,fz0_avg,garch11,3
DAX,fz0_avg,garch11,10
DIA,fz0_avg,garch11,9
ETH-USD,fz0_avg,garch11,9
HSI,fz0_avg,garch11,11
KOSPI,fz0_avg,garch11,9
NDX,fz0_avg,garch11,9
NKX,fz0_avg,garch11,3
SPY,fz0_avg,garch11,9
TWSE,fz0_avg,garch11,3
BTC-USD,fz0_avg,garch11_t,6
CAC,fz0_avg,garch11_t,1
DAX,fz0_avg,garch11_t,1
DIA,fz0_avg,garch11_t,3
ETH-USD,fz0_avg,garch11_t,1
HSI,fz0_avg,garch11_t,5
KOSPI,fz0_avg,garch11_t,3
NDX,fz0_avg,garch11_t,3
NKX,fz0_avg,garch11_t,2
SPY,fz0_avg,garch11_t,3
TWSE,fz0_avg,garch11_t,1
BTC-USD,fz0_avg,gjr,4
CAC,fz0_avg,gjr,2
DAX,fz0_avg,gjr,2
DIA,fz0_avg,gjr,5
ETH-USD,fz0_avg,gjr,8
HSI,fz0_avg,gjr,7
KOSPI,fz0_avg,gjr,4
NDX,fz0_avg,gjr,7
NKX,fz0_avg,gjr,1
SPY,fz0_avg,gjr,6
TWSE,fz0_avg,gjr,2
BTC-USD,fz0_avg,har,5
CAC,fz0_avg,har,4
DAX,fz0_avg,har,4
DIA,fz0_avg,har,4
ETH-USD,fz0_avg,har,6
HSI,fz0_avg,har,2
KOSPI,fz0_avg,har,6
NDX,fz0_avg,har,2
NKX,fz0_avg,har,7
SPY,fz0_avg,har,2
TWSE,fz0_avg,har,5
BTC-USD,fz0_avg,lgbm,11
CAC,fz0_avg,lgbm,11
DAX,fz0_avg,lgbm,11
DIA,fz0_avg,lgbm,11
ETH-USD,fz0_avg,lgbm,7
HSI,fz0_avg,lgbm,10
KOSPI,fz0_avg,lgbm,11
NDX,fz0_avg,lgbm,11
NKX,fz0_avg,lgbm,11
SPY,fz0_avg,lgbm,10
TWSE,fz0_avg,lgbm,7
BTC-USD,fz0_avg,moirai,1
CAC,fz0_avg,moirai,9
DAX,fz0_avg,moirai,6
DIA,fz0_avg,moirai,8
ETH-USD,fz0_avg,moirai,2
HSI,fz0_avg,moirai,6
KOSPI,fz0_avg,moirai,5
NDX,fz0_avg,moirai,8
NKX,fz0_avg,moirai,5
SPY,fz0_avg,moirai,8
TWSE,fz0_avg,moirai,11
BTC-USD,fz0_avg,naive,8
CAC,fz0_avg,naive,12
DAX,fz0_avg,naive,12
DIA,fz0_avg,naive,13
ETH-USD,fz0_avg,naive,11
HSI,fz0_avg,naive,13
KOSPI,fz0_avg,naive,13
NDX,fz0_avg,naive,12
NKX,fz0_avg,naive,12
SPY,fz0_avg,naive,13
TWSE,fz0_avg,naive,9
BTC-USD,fz0_avg,patchtst,13
CAC,fz0_avg,patchtst,13
DAX,fz0_avg,patchtst,13
DIA,fz0_avg,patchtst,12
ETH-USD,fz0_avg,patchtst,13
HSI,fz0_avg,patchtst,12
KOSPI,fz0_avg,patchtst,12
NDX,fz0_avg,patchtst,13
NKX,fz0_avg,patchtst,13
SPY,fz0_avg,patchtst,12
TWSE,fz0_avg,patchtst,13
BTC-USD,fz0_avg,timesfm,2
CAC,fz0_avg,timesfm,6
DAX,fz0_avg,timesfm,5
DIA,fz0_avg,timesfm,6
ETH-USD,fz0_avg,timesfm,3
HSI,fz0_avg,timesfm,9
KOSPI,fz0_avg,timesfm,7
NDX,fz0_avg,timesfm,5
NKX,fz0_avg,timesfm,9
SPY,fz0_avg,timesfm,7
TWSE,fz0_avg,timesfm,10
BTC-USD,qlike_ex_near_zero,autoarima,5
CAC,qlike_ex_near_zero,autoarima,7
DAX,qlike_ex_near_zero,autoarima,6
DIA,qlike_ex_near_zero,autoarima,3
ETH-USD,qlike_ex_near_zero,autoarima,5
